Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bafe43fa7680cd39545c36d23c3e37f514daa017f2002fc727877973a77f00e1,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.172464,52.085167,On or near WESTERFIELD ROAD,E01030221,Suffolk Coastal 006C,Investigation complete; no suspect identified
a761a0b00bea2bea576e304197d75c245093f0967f9b6634705024534e5df4f4,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.409855,52.244693,On or near ROUS ROAD,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
d419399ad973e063a2cc09480af1fe949998bcdc9fe4affb3dc656fcd347480e,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.749965,52.471568,On or near Parking Area,E01030258,Waveney 007D,Investigation complete; no suspect identified
06d06a5489571b10fe87eb9021b37371b60d60743e034db443897ec1a808f54d,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.665448,52.384758,On or near BONSEY GARDENS,E01030295,Waveney 014D,Investigation complete; no suspect identified
36cc327440624a259bfb5ec7e75967f011c10392f321189cd4875e7106cf3578,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.332395,51.968464,On or near HALL FIELD,E01030168,Suffolk Coastal 014C,Investigation complete; no suspect identified
f1a236f1ba3ddc6d9967309ac154ac14901c086323c572e6ccd66528f96186a4,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.443952,52.451867,On or near YEOMAN'S CLOSE,E01030231,Waveney 013B,Investigation complete; no suspect identified
e7f8c614a698269d53914a52da8fba17a1157bfc10a2578615cfb8d92a403fea,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.187437,52.033263,On or near GRASMERE CLOSE,E01029981,Ipswich 016D,Investigation complete; no suspect identified
16bdc663a8d79e77b1a49c369cfa4300c46e1b6b256fa4f118144421e3238daa,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.246342,52.093668,On or near GRUNDISBURGH ROAD,E01030175,Suffolk Coastal 006A,Investigation complete; no suspect identified
804c29f5d62e34c42a0ae324b81fe6583391e2e439959dc46c9ccce437776e68,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.934827,52.224510,On or near PARK VIEW,E01030056,Mid Suffolk 006B,Investigation complete; no suspect identified
f7c2110588008a261bd733167430da953a0768fd31421acde96d1d84ae1c2c07,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.623357,52.442274,On or near FIRS WAY,E01029930,Forest Heath 001E,Investigation complete; no suspect identified
1da539df1bae4ebdaac266d79d5d6c41f0f01da1e33dfa43a1d6405bc2130518,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.408410,52.244525,On or near Shopping Area,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
cefa16336d3816bdbf3a2c35be08e78e07d187cf85994217ab88ced95de9628f,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.518273,52.423671,On or near BRISCOE WAY,E01029944,Forest Heath 002E,Investigation complete; no suspect identified
0a81a0c15bc79f0f1241918819c2b37dd0e8c3d7d6c2963cdd09c4aee5746a34,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.122438,52.046571,On or near Parking Area,E01029987,Ipswich 010D,Investigation complete; no suspect identified
11e785585eaf5e5217c75bf44c38b6689b432ac2e974d216e605483c126560cc,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.729689,52.042094,On or near Supermarket,E01029920,Babergh 007H,Investigation complete; no suspect identified
f6ffb2a38c10a059f9ecab6333dfc8528c7c7ad1766d345a721a7d5f8035f184,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.796475,52.198491,On or near OAKEY LEY,E01030138,St Edmundsbury 004C,Investigation complete; no suspect identified
9d709d41a05998c4f12da954ab9ff6ab1ce9b757a633c087e19a00d423e2f481,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.181410,52.036286,On or near Supermarket,E01029983,Ipswich 016F,Investigation complete; no suspect identified
a05d2674b9cb2e516da3e494e53131543107cc95867623a2f5256a6ed251a6f6,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.180064,52.036214,On or near STUBBS CLOSE,E01029979,Ipswich 016B,Investigation complete; no suspect identified
4b455574c58b0b7ca7330df8f125f6471bd7a5ee2acf845142f6b936e383f73f,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.128724,52.041331,On or near MAGDALENE CLOSE,E01030018,Ipswich 015B,Investigation complete; no suspect identified
140c44cbe82577be61cbe62238ec51fa4713b1bf27ccd6b4fd46141932c5aa7b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.731573,52.451974,On or near IREX ROAD,E01030272,Waveney 012E,Investigation complete; no suspect identified
875a723339359ed6c51d20ec74b3495f792cbe38a6e15f49e93e57ca5b48bf94,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.344528,51.960880,On or near TOWER ROAD,E01030162,Suffolk Coastal 015A,Investigation complete; no suspect identified
75abef11fde0b51ae71066dcba1f4df14c582de4c006c98a129bbccfb05b4b98,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.687046,52.455252,On or near A1145,E01030237,Waveney 009C,Investigation complete; no suspect identified
c522c4d4e9ee5b72edc6af873ee5fd5208cb4140b2f033eec2159b88b1e1f0a2,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.408193,52.246463,On or near FRED ARCHER WAY,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
47df05b26daf5bc93ae96cabd0bc9b3c949aba24b3a2032556475bf0d24691e4,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.746567,52.470938,On or near ST JOHN'S ROAD,E01030258,Waveney 007D,Investigation complete; no suspect identified
a1b3fc8230350cc96e2799e9cb3e2bdbc02142bc49dcf563ddc3edd336729812,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.458910,52.107773,On or near Sports/Recreation Area,E01033446,Suffolk Coastal 007H,Investigation complete; no suspect identified
3f516c6d9faef6af416ae622c525d87e9d139c8963a95dd100e0841c2720eb84,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.747006,52.476447,On or near ALMA STREET,E01030250,Waveney 004D,Investigation complete; no suspect identified
8a8dff95a0420dab46025a6bf5281307a013a910aaae414bab106b50d77caaad,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.436220,52.150982,On or near EVERGREEN LANE,E01030151,St Edmundsbury 011C,Investigation complete; no suspect identified
3be2fc558feab0a2faf9ba808ba70f46c7302103191c2a6a6b3c024589c64634,2017-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
12f98c36b15be2c4da94759ff6638837f40766c9e95c272a8898affb63d065e5,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.118152,52.074448,On or near Supermarket,E01030029,Ipswich 003C,Investigation complete; no suspect identified
a3cd1a078a9d0494ff3b1e433e965b7843f5b02a308a0ceaeb0963820ebe2113,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.112915,52.077006,On or near FODEN AVENUE,E01030031,Ipswich 003E,Investigation complete; no suspect identified
6c46929841fefa9bf78a19439cd3fc14df8e9e46337b6f0e42545944dd056e32,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.997674,52.187468,On or near FOX COURT,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
cbb1e05ec7d64eb0a674f30553c33ec931f2df6b3e8c9f490c46e6d431b5e2f4,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.410563,52.246127,On or near Petrol Station,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
de04b1080d1748fee1d1b407a8193ba8280c141b35872f724410ff7b9eb69f25,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.214620,52.027397,On or near BELFRY ROAD,E01033127,Ipswich 014E,Investigation complete; no suspect identified
7a266e5c50437d119564ff7f1e2d798109aa3ea4361c5aa0a4942f3c78ad69a5,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.199804,52.028790,On or near MINSMERE ROAD,E01033127,Ipswich 014E,Investigation complete; no suspect identified
b2ffc86a6b768d403373fa4536c694d59b0acb56e809eb6c52ef5d86d1eaca73,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.415312,52.090946,On or near BAINES CONEY,E01030117,St Edmundsbury 013C,Investigation complete; no suspect identified
5728a9c54cc4bf1b659d68b2cc5072aa7c5dc383bde4a0de79cba7e77b50d927,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.350064,51.965021,On or near COWLEY ROAD,E01030165,Suffolk Coastal 015C,Investigation complete; no suspect identified
4b90e8d7d7dc0b591c967cbbc0be8a576fe8ffa45ffe3f708804070c64d78395,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.268980,52.272149,On or near NEW ROAD,E01030090,Mid Suffolk 003C,Investigation complete; no suspect identified
106718df2717b40c2a0080603dc92bba21a9b337ebb065fcd760ccd3a85177e8,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.520962,52.346765,On or near KINGS CLOSE,E01029946,Forest Heath 004D,Investigation complete; no suspect identified
8956f48222441f0678fd100fcb5b3f3def7aea531ecfc8e98b0fca303f1696ee,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.202111,52.039637,On or near WARREN HEATH ROAD,E01029967,Ipswich 009E,Investigation complete; no suspect identified
